variant,effective_update,raw_action_loss,raw_direction_loss,raw_alignment_loss,weighted_direction_loss,weighted_alignment_loss,learning_rate,lambda_a,lambda_b,gradient_norm_before_clip,gradient_clip_scale,direction_supervised_samples_in_update
sa,180,6.0390625,11.65625,,3.4968749999999997,,5.394605977926403e-06,0.3,0.009,8.1218843460083,0.12312413688720826,16
sa,181,6.234375,10.8125,,3.24375,,5.424575647339225e-06,0.3,0.00905,7.482682704925537,0.1336419088493144,15
sa,182,6.0078125,11.0625,,3.31875,,5.454545316752046e-06,0.3,0.0091,7.565505504608154,0.1321788741533397,15
sa,183,5.8828125,10.859375,,3.2578125,,5.4845168051542714e-06,0.3,0.00915,8.124285697937012,0.12308774422518506,15
sa,184,6.3359375,11.703125,,3.5109375,,5.514486474567093e-06,0.3,0.0092,9.141023635864258,0.10939693844314766,16
sa,185,6.1015625,10.234375,,3.0703125,,5.5444561439799145e-06,0.3,0.00925,7.774222373962402,0.12863022845207286,14
sa,186,5.5390625,10.828125,,3.2484375,,5.574425813392736e-06,0.3,0.009300000000000001,6.478684902191162,0.1543523130229391,15
sa,187,5.59375,9.125,,2.7375,,5.6043954828055575e-06,0.3,0.00935,7.460470199584961,0.13403980891923298,13
sa,188,5.953125,10.03125,,3.009375,,5.634366971207783e-06,0.3,0.0094,6.6458587646484375,0.1504696436402376,14
sa,189,5.265625,11.59375,,3.478125,,5.664336640620604e-06,0.3,0.00945,6.460244655609131,0.15479289923358341,16
sa,190,5.828125,10.25,,3.0749999999999997,,5.694306310033426e-06,0.3,0.009500000000000001,9.986623764038086,0.10013394152296076,14
sa,191,5.8203125,9.921875,,2.9765625,,5.724275979446247e-06,0.3,0.009550000000000001,5.947211742401123,0.16814602259247302,14
sa,192,5.28125,11.609375,,3.4828125,,5.754245648859069e-06,0.3,0.009600000000000001,5.813604831695557,0.17201031527771501,16
sa,193,5.578125,11.171875,,3.3515625,,5.784217137261294e-06,0.3,0.00965,5.360808849334717,0.18653901456010716,16
sa,194,5.5234375,10.734375,,3.2203125,,5.814186806674115e-06,0.3,0.0097,5.142908096313477,0.19444251798254317,15
sa,195,5.421875,9.765625,,2.9296875,,5.844156476086937e-06,0.3,0.009750000000000002,5.081394195556641,0.19679638333795024,14
sa,196,5.2578125,10.515625,,3.1546875,,5.874124326510355e-06,0.3,0.009800000000000001,5.293971538543701,0.18889410204027773,15
sa,197,5.6015625,10.703125,,3.2109375,,5.904093995923176e-06,0.3,0.009850000000000001,5.741245269775391,0.17417824061000656,15
sa,198,5.234375,11.015625,,3.3046875,,5.9340654843254015e-06,0.3,0.0099,5.283180236816406,0.1892799327631098,16
sa,199,5.265625,9.96875,,2.990625,,5.964035153738223e-06,0.3,0.00995,5.142965793609619,0.19444033659382837,15
sa,200,5.3984375,10.8125,,3.24375,,5.9940048231510445e-06,0.3,0.010000000000000002,5.180688858032227,0.19302452384292165,16
sa,201,5.6484375,9.59375,,2.878125,,6.023974492563866e-06,0.3,0.010050000000000002,4.923154354095459,0.20312180526457047,14
sa,202,5.2109375,9.625,,2.8874999999999997,,6.053944161976688e-06,0.3,0.010100000000000001,5.109442234039307,0.19571607901503618,14
sa,203,5.3125,9.9140625,,2.97421875,,6.083915650378913e-06,0.3,0.010150000000000001,5.568723678588867,0.1795743616880993,15
sa,204,5.421875,10.640625,,3.1921874999999997,,6.113885319791734e-06,0.3,0.0102,5.415159225463867,0.184666776795347,16
sa,205,5.328125,10.203125,,3.0609375,,6.143854989204556e-06,0.3,0.01025,5.5012898445129395,0.18177555232749887,15
sa,206,5.296875,10.90625,,3.271875,,6.173826477606781e-06,0.3,0.0103,8.983203887939453,0.11131885822413162,16
sa,207,5.1953125,10.5,,3.15,,6.203796147019602e-06,0.3,0.01035,4.827543258666992,0.20714469998889776,16
